Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Acara Thread Fin,Peaceful,"8""",55 Gallon,"Features a brownish-silver or tan base decorated with iridescent blue, green, and gold gem-like speckles.","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Mild-mannered large cichlid. May nibble soft plants; use hardy species like Java fern or Anubias. Generally peaceful with similarly sized fish.,77-82°F,6.8-7.4,8-15 dKH,South America (Amazon Basin),Caution,Acarichthys heckelii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Acara Thread Fin.html,538694P
African Butterfly Fish,Semi-aggressive,"4""",30 Gallon,Mottled bark-brown top-dweller; wide wing-like pectoral fins,"Omnivore. Standard high-quality community aquarium diet including a balance of flake foods, micro-pellets, and frozen treats.",Surface-dwelling ambush predator; will eat small fish and insects. Peaceful with large tankmates. Does not eat plants. Needs a tight-fitting lid as it may jump.,75-86°F,6.5-7.2,2-8 dKH,West/Central Africa,Safe,Pantodon buchholzi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/African Butterfly Fish.html,MI01
Angel Black Veil (Extra Large),Semi-aggressive,"8""",55 Gallon,"It varies, but solid velvet black with elongated fins","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Color/fin variety of freshwater angelfish. Relatively peaceful for a cichlid but territorial, especially when breeding. May eat small fish. Safe with hardy plants; may uproot delicate ones. Prefers tall tanks.",77-84°F,6.5-8.0,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Black Veil (Extra Large).html,AN05
Angel Black Veil (Large),Semi-aggressive,"6""",29 Gallon,"It varies, but solid velvet black with elongated fins","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Color/fin variety of freshwater angelfish. Relatively peaceful for a cichlid but territorial, especially when breeding. May eat small fish. Safe with hardy plants; may uproot delicate ones. Prefers tall tanks.",77-84°F,6.5-8.0,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Black Veil (Large).html,AN04
Angel Black Veil (Medium),Semi-aggressive,"4""",20 Gallon,"It varies, but solid velvet black with elongated fins","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Color/fin variety of freshwater angelfish. Relatively peaceful for a cichlid but territorial, especially when breeding. May eat small fish. Safe with hardy plants; may uproot delicate ones. Prefers tall tanks.",77-84°F,6.5-8.0,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Black Veil (Medium).html,AN02
Angel Black Veil (Small),Semi-aggressive,"2""",10 Gallon,"It varies, but solid velvet black with elongated fins","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Color/fin variety of freshwater angelfish. Relatively peaceful for a cichlid but territorial, especially when breeding. May eat small fish. Safe with hardy plants; may uproot delicate ones. Prefers tall tanks.",77-84°F,6.5-8.0,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Black Veil (Small).html,AN01
Angel Blue (Extra Large),Semi-aggressive,"8""",55 Gallon,Metallic silvery-blue sheen with dark vertical bars. Color can vary.,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Color variant of freshwater angelfish. Peaceful for a cichlid but territorial during breeding. May prey on very small fish. Does well in planted tanks with hardy species. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Blue (Extra Large).html,AN10
Angel Blue (Large),Semi-aggressive,"6""",29 Gallon,Metallic silvery-blue sheen with dark vertical bars. Color can vary.,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Color variant of freshwater angelfish. Peaceful for a cichlid but territorial during breeding. May prey on very small fish. Does well in planted tanks with hardy species. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Blue (Large).html,AN09
Angel Blue (Medium),Semi-aggressive,"4""",20 Gallon,Metallic silvery-blue sheen with dark vertical bars. Color can vary.,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Color variant of freshwater angelfish. Peaceful for a cichlid but territorial during breeding. May prey on very small fish. Does well in planted tanks with hardy species. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Blue (Medium).html,AN07
Angel Blue (Small),Semi-aggressive,"2""",10 Gallon,Metallic silvery-blue sheen with dark vertical bars. Color can vary.,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Color variant of freshwater angelfish. Peaceful for a cichlid but territorial during breeding. May prey on very small fish. Does well in planted tanks with hardy species. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Blue (Small).html,AN06
